experiment_id,distance,eta,seed,gate_family,alpha_g,r_g,chi_temp,contribution,eta_eff,interval_low,interval_high
exp_gate_class_convexity_ablation,3,20,11,reset,0.18247220405493783,13.870967741935484,0.79,2.44584,14.694000000000003,10.958064516129033,16.59
exp_gate_class_convexity_ablation,3,20,29,reset,0.18247220405493783,13.870967741935484,0.79,2.44584,14.694000000000003,10.958064516129033,16.59
exp_gate_class_convexity_ablation,3,20,47,reset,0.18247220405493783,13.870967741935484,0.79,2.44584,14.694000000000003,10.958064516129033,16.59
exp_gate_class_convexity_ablation,3,20,71,reset,0.18247220405493783,13.870967741935484,0.79,2.44584,14.694000000000003,10.958064516129033,16.59
exp_gate_class_convexity_ablation,3,20,89,reset,0.18247220405493783,13.870967741935484,0.79,2.44584,14.694000000000003,10.958064516129033,16.59
exp_gate_class_convexity_ablation,3,20,11,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,29,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,47,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,71,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,89,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,11,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,29,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,47,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,71,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,89,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,11,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,29,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,47,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,71,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,89,idle,0.09156976744186045,24.761904761904763,0.79,1.97184,14.694000000000003,11.06,19.561904761904763
exp_gate_class_convexity_ablation,3,20,11,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,29,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,47,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
exp_gate_class_convexity_ablation,3,20,71,single_qubit_clifford,0.1677762982689747,16.42857142857143,0.79,2.6164800000000006,14.694000000000003,11.06,16.59
